name,status,ms,synonym,related,positive,negative,summary
نماد چکارنح,A,1,"چکارنح,ح. کارتن‌ ایران‌",صنعت چاپ,"بورس,سهام,شاخص,قرارداد",,محصولات کاغذی
نماد چکاوه,A,1,"چکاوه,صنایع‌کاغذسازی‌کاوه‌",صنعت چاپ,"بورس,سهام,شاخص,قرارداد",,محصولات کاغذی
نماد چکاوهح,A,1,"چکاوهح,ح. صنایع‌کاغذسازی‌کاوه‌",صنعت چاپ,"بورس,سهام,شاخص,قرارداد",,محصولات کاغذی
نماد چنوپا,A,1,"چنوپا,نیوپان‌ ۲۲ بهمن‌",,"بورس,سهام,شاخص,قرارداد",,محصولات چوبی
نماد چنوپاح,A,1,"چنوپاح,ح. نیوپان‌ ۲۲ بهمن‌",,"بورس,سهام,شاخص,قرارداد",,محصولات چوبی
نماد حپترو,A,1,"حپترو,حمل و نقل پتروشیمی (سهامی عام",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حپتروح,A,1,"حپتروح,ح. حمل و نقل پتروشیمی",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حتاید,A,1,"حتاید,تایدواترخاورمیانه",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حتایدح,A,1,"حتایدح,ح. تایدواترخاورمیانه‌",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حتوکا,A,1,"حتوکا,حمل‌ونقل‌توکا",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حتوکاح,A,1,"حتوکاح,ح. حمل‌ونقل‌توکا",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حفارس,A,1,"حفارس,حمل و نقل بین المللی خلیج فارس",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حفاری,A,1,"حفاری,حفاری شمال","صنعت نفت و گاز,صنعت پتروشیمی و پالایش","بورس,سهام,شاخص,قرارداد",,استخراج نفت گاز و خدمات جنبی جز اکتشاف
نماد حفجر,A,1,"حفجر,کشتیرانی والفجر",صنعت راه و ساختمان,"بورس,سهام,شاخص,قرارداد",,حمل و نقل آبی
نماد حکشتی,A,1,"حکشتی,کشتیرانی جمهوری اسلامی ایران",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد حکشتیح,A,1,"حکشتیح,ح. کشتیرانی ج. ا. ا",,"بورس,سهام,شاخص,قرارداد",,"حمل ونقل, انبارداری و ارتباطات"
نماد خاذین,A,1,"خاذین,سایپاآذین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خاذینح,A,1,"خاذینح,ح. سایپاآذین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خاهن,A,1,"خاهن,آهنگری‌ تراکتورسازی‌ ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خاهنح,A,1,"خاهنح,ح. آهنگری تراکتورسازی‌ ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خاور,A,1,"خاور,ایران‌ خودرودیزل‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خاورح,A,1,"خاورح,ح. ایران‌ خودرودیزل‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خبهمن,A,1,"خبهمن,گروه‌بهمن‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خبهمنح,A,1,"خبهمنح,ح. گروه‌بهمن‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خپارس,A,1,"خپارس,پارس‌ خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خپارسح,A,1,"خپارسح,ح. پارس‌ خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خپویش,A,1,"خپویش,سازه‌ پویش‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خپویشح,A,1,"خپویشح,ح. سازه‌ پویش‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختراک,A,1,"ختراک,ریخته‌گری‌ تراکتورسازی‌ ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختراکح,A,1,"ختراکح,ح. ریخته‌گری‌ تراکتورسازی‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختور,A,1,"ختور,رادیاتور ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختورح,A,1,"ختورح,ح. رادیاتور ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختوقا,A,1,"ختوقا,قطعات‌ اتومبیل‌ ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد ختوقاح,A,1,"ختوقاح,ح. قطعات‌ اتومبیل‌ ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خچرخش,A,1,"خچرخش,چرخشگر",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خچرخشح,A,1,"خچرخشح,ح. چرخشگر",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خریخت,A,1,"خریخت,صنایع‌ریخته‌گری‌ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خریختح,A,1,"خریختح,ح. صنایع‌ریخته‌گری‌ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خرینگ,A,1,"خرینگ,رینگ‌سازی‌مشهد",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خرینگح,A,1,"خرینگح,ح. رینگ‌سازی‌مشهد",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خزامیا,A,1,"خزامیا,زامیاد",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خزامیاح,A,1,"خزامیاح,ح. زامیاد",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خزر,A,1,"خزر,فنرسازی‌زر",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خزرح,A,1,"خزرح,ح. فنرسازی‌زر",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خساپا,A,1,"خساپا,سایپا",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خساپاح,A,1,"خساپاح,ح. سایپا",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خشرق,A,1,"خشرق,الکتریک‌ خودرو شرق‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خشرقح,A,1,"خشرقح,ح. الکتریک‌ خودرو شرق‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خصدرا,A,1,"خصدرا,حذف-صنعتی‌ دریایی‌ ایران‌",,"بورس,سهام,شاخص,قرارداد",,پیمانکاری صنعتی
نماد خصدراح,A,1,"خصدراح,حذف-ح. صنعتی‌ دریایی‌ ایران‌",,"بورس,سهام,شاخص,قرارداد",,پیمانکاری صنعتی
نماد خفنر,A,1,"خفنر,فنرسازی‌خاور",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خفنرح,A,1,"خفنرح,ح. فنرسازی‌خاور",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکار,A,1,"خکار,ایرکا پارت صنعت",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکارح,A,1,"خکارح,ح. ایرکا پارت صنعت",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکاوه,A,1,"خکاوه,سایپا دیزل‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکاوهح,A,1,"خکاوهح,ح. سایپا دیزل‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکمک,A,1,"خکمک,کمک‌فنرایندامین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خکمکح,A,1,"خکمکح,ح. کمک‌فنرایندامین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خگستر,A,1,"خگستر,گسترش‌سرمایه‌گذاری‌ایران‌خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خگسترح,A,1,"خگسترح,ح. سرمایه‌گذاری‌ایران‌خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خلنت,A,1,"خلنت,لنت‌ ترمزایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خلنتح,A,1,"خلنتح,ح. لنت‌ ترمزایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمحرکه,A,1,"خمحرکه,نیرو محرکه‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمحرکهح,A,1,"خمحرکهح,ح. نیرو محرکه‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمحور,A,1,"خمحور,تولیدمحورخودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمحورح,A,1,"خمحورح,ح. تولیدمحورخودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمهر,A,1,"خمهر,مهرکام‌پارس‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خمهرح,A,1,"خمهرح,ح. مهرکام‌پارس‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خموتور,A,1,"خموتور,موتورسازان‌تراکتورسازی‌ایران‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خموتورح,A,1,"خموتورح,ح. موتورسازان‌تراکتورسازی‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خنصیر,A,1,"خنصیر,مهندسی‌نصیرماشین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خنصیرح,A,1,"خنصیرح,ح. مهندسی‌نصیرماشین‌",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خودرو,A,2,"خودرو,ایران‌ خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خودروح,A,1,"خودروح,ح. ایران‌ خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خوساز,A,1,"خوساز,محورسازان‌ایران‌خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد خوسازح,A,1,"خوسازح,ح. محورسازان‌ایران‌خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد دابور,A,1,"دابور,داروسازی‌ ابوریحان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دابورح,A,1,"دابورح,ح. داروسازی‌ ابوریحان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دارو,A,1,"دارو,کارخانجات‌داروپخش‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد داروح,A,1,"داروح,ح. کارخانجات‌داروپخش",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد داسوه,A,1,"داسوه,داروسازی‌ اسوه‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد داسوهح,A,1,"داسوهح,ح. داروسازی‌ اسوه‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دالبر,A,1,"دالبر,البرزدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دالبرح,A,1,"دالبرح,ح. البرزدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دامین,A,1,"دامین,داروسازی‌ امین‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دامینح,A,1,"دامینح,ح. داروسازی‌ امین‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دانا,A,1,"دانا,بیمه دانا",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد دپارس,A,1,"دپارس,پارس‌ دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دپارسح,A,1,"دپارسح,ح. پارس‌ دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دتماد,A,1,"دتماد,تولیدمواداولیه‌داروپخش‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دتمادح,A,1,"دتمادح,ح. تولیدمواداولیه‌داروپخش‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دتهران,A,1,"دتهران,داروسازی‌ تهران‌ دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دتهرانح,A,1,"دتهرانح,ح. داروسازی‌ تهران‌ دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دجابر,A,1,"دجابر,داروسازی‌ جابرابن‌حیان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دجابرح,A,1,"دجابرح,ح. داروسازی‌ جابرابن‌حیان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد ددام,A,1,"ددام,داروسازی زاگرس فارمد پارس",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد ددامح,A,1,"ددامح,ح. داروسازی زاگرس فارمد پارس",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد درازک,A,1,"درازک,دارویی‌ رازک‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد درازکح,A,1,"درازکح,ح. دارویی‌ رازک‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دروز,A,1,"دروز,داروسازی‌ روزدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دروزح,A,1,"دروزح,ح. داروسازی‌ روزدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دزهراوی,A,1,"دزهراوی,داروسازی‌زهراوی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دزهراویح,A,1,"دزهراویح,ح. ‌داروسازی‌زهراوی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسبحا,A,1,"دسبحا,گروه دارویی سبحان",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسبحاح,A,1,"دسبحاح,ح. گروه دارویی سبحان",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسبحان,A,1,"دسبحان,سبحان دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسبحانح,A,1,"دسبحانح,ح. سبحان دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسینا,A,1,"دسینا,داروسازی‌ سینا",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دسیناح,A,1,"دسیناح,ح. داروسازی‌ سینا",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دشیمی,A,1,"دشیمی,شیمی‌ داروئی‌ داروپخش‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دشیمیح,A,1,"دشیمیح,ح. شیمی‌ داروئی‌ داروپخش‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دعبید,A,1,"دعبید,لابراتوارداروسازی‌ دکترعبیدی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دعبیدح,A,1,"دعبیدح,ح. داروسازی‌ دکترعبیدی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفارا,A,1,"دفارا,داروسازی‌ فارابی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفاراح,A,1,"دفاراح,ح. داروسازی‌ فارابی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفرا,A,1,"دفرا,فرآورده‌های‌ تزریقی‌ ایران‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفراح,A,1,"دفراح,ح. فرآورده‌های‌ تزریقی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکوثر,A,1,"دکوثر,داروسازی‌ کوثر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکوثرح,A,1,"دکوثرح,ح. داروسازی‌ کوثر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکیمی,A,1,"دکیمی,کیمیدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکیمیح,A,1,"دکیمیح,ح. کیمیدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلر,A,1,"دلر,داروسازی‌ اکسیر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلرح,A,1,"دلرح,ح. داروسازی‌ اکسیر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلقما,A,1,"دلقما,دارویی‌ لقمان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلقماح,A,1,"دلقماح,ح. دارویی‌ لقمان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیران,A,1,"دیران,ایران‌دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیرانح,A,1,"دیرانح,ح. ‌ایران‌دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیسشپ,A,1,"دیسشپ,دیس شپ",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد رانفور,A,1,"رانفور,خدمات‌انفورماتیک‌",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رانفورح,A,1,"رانفورح,ح. خدمات‌انفورماتیک‌",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتاپ,A,1,"رتاپ,تجارت الکترونیک پارسیان",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتاپح,A,1,"رتاپح,ح. تجارت الکترونیک پارسیان",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتکو,A,1,"رتکو,کنترل‌خوردگی‌تکین‌کو",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد رتکوح,A,1,"رتکوح,ح. کنترل‌خوردگی‌تکین‌کو",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد رکیش,A,1,"رکیش,کارت اعتباری ایران کیش",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
